Date,f_GSP,f_NDAQ,f_OPEC,f_TREASURY
22/05/2018,-0.009311769,-0.008039648,0.030592992,-0.011764706
21/05/2018,-0.000943953,0.002213124,0.031581777,0.011904762
18/05/2018,0.006447272,0.001442681,0.009805238,0
17/05/2018,0.01244526,0.016269348,0.020554429,0.005952381
16/05/2018,0.022421,0.018935978,0.029126214,0.00591716
15/05/2018,0.017676824,0.032147743,0.02719492,-0.00591716
14/05/2018,0.038764844,0.053631806,0.04888701,0.011976048
11/05/2018,0.026525029,0.027837992,0.046857305,0
10/05/2018,0.006661003,-0.001694724,0.023275617,0
09/05/2018,0.011226012,0.007385524,0.026498512,0.005952381
08/05/2018,-0.007116507,-0.013498313,-0.000563222,0.012121212
07/05/2018,-0.017096062,-0.026154891,-0.008422235,0.037037037
04/05/2018,-0.006026437,-0.004980192,-0.007605634,0.043209877
03/05/2018,0.007544859,0.031163114,0.000992908,0.018181818
02/05/2018,-0.012216503,0.01145213,-0.004625088,-0.029411765
01/05/2018,-0.00205203,0.015785861,0.010353141,-0.041420118
30/04/2018,-0.009515182,0.013333333,0.008952679,-0.018181818
27/04/2018,-0.022864252,0.021526646,-0.006482525,-0.011976048
26/04/2018,-0.027877096,-0.001158078,0.028246145,0.017964072
25/04/2018,-0.008337233,0.005434783,0.031451141,0.005952381
24/04/2018,1.49E-05,0.010635838,0.028650782,0.006097561
23/04/2018,0.006062984,0.00138217,0.024101602,0.018292683
20/04/2018,0.020653093,0.001051893,0.009455921,0.012121212
19/04/2018,0.023639411,0.006679948,0.00102504,0.024390244
18/04/2018,0.014944683,-0.001857441,0.021807319,0.006134969
17/04/2018,0.014947425,0.005499649,0.064689613,-0.017964072
16/04/2018,0.006867398,0.008381839,0.06063879,-0.017857143
13/04/2018,-0.005708748,-0.00867052,0.047874789,-0.017964072
12/04/2018,0.028184587,0.006322445,0.038306452,-0.023952096
11/04/2018,0.008097463,-0.003388642,0.001693089,-0.017647059
10/04/2018,-0.011004576,-0.011830202,-0.019219128,0
09/04/2018,0.018524333,0.022993955,-0.010626993,0.024539877
06/04/2018,0.012786696,0.052233341,-0.023917651,0.012121212
05/04/2018,-0.019913291,0.035121252,-0.027540787,0.00591716
04/04/2018,-0.014305151,0.043812546,-0.010926508,-0.01754386
03/04/2018,-0.002206475,0.048777521,-0.007981928,-0.035502959
02/04/2018,-0.032087902,-0.001435235,-0.001964043,-0.011976048
30/03/2018,-0.037705443,-0.026153115,0.021715859,-0.011695906
29/03/2018,-0.037705443,-0.026153115,0.021715859,-0.011695906
28/03/2018,-0.02080993,-0.006070706,0.042115115,-0.028409091
27/03/2018,-0.055855046,-0.038131554,0.048807455,-0.005882353
26/03/2018,-0.038857472,-0.025775033,0.054988843,-0.023391813
23/03/2018,-0.015372531,-0.001778094,0.05061054,0.005882353
22/03/2018,-0.02059083,-0.016939252,0.034532838,0.029239766
21/03/2018,-0.028431728,-0.032959408,0.018664521,0.036585366
20/03/2018,-0.013807363,-0.031711255,0.003358388,0.06875
19/03/2018,-0.002026873,-0.015571947,0.004681195,0.082802548
16/03/2018,0.006122038,0.00178105,0.001940178,0.089171975
15/03/2018,0.020341897,0.026490066,-0.008455648,0.044585987
14/03/2018,0.019354073,0.040208308,-0.011227071,0.025641026
13/03/2018,0.039353836,0.079062227,-0.01463337,0.026143791
12/03/2018,0.03011787,0.070383451,0.004547669,0.046666667
09/03/2018,0.004264848,0.036419753,0.008203313,0.046666667
08/03/2018,-0.009318065,0.021672958,-0.011411599,0.04
07/03/2018,-0.021403046,0.000367017,-0.032620403,0.026845638
06/03/2018,-0.023979407,-0.006043414,-0.055385087,0.079136691
05/03/2018,-0.014040099,0.011950165,-0.03086516,0.086956522
02/03/2018,0.001258181,0.01802824,0.014109068,0.119402985
01/03/2018,0.008729917,0.033265874,0.03984,0.064285714
