timestamp,open,high,low,close,volume
2006-08-14,2.6300,2.6400,2.6100,2.6400,1000
2006-08-11,2.6000,2.6500,2.6000,2.6500,4100
2006-08-10,2.6000,2.6600,2.6000,2.6600,3000
2006-08-09,2.5600,2.6500,2.5600,2.6400,8161
2006-08-08,2.6800,2.6800,2.6100,2.6800,7331
2006-08-07,2.6100,2.7200,2.6000,2.6500,4237
2006-08-04,2.7100,2.7100,2.5500,2.6800,2199
2006-08-03,2.7300,2.7300,2.6000,2.7000,800
2006-08-02,2.6600,2.7000,2.6000,2.6900,15400
2006-08-01,2.7800,2.7800,2.6400,2.7500,3991
2006-07-31,2.6900,2.7800,2.6500,2.7300,4000
2006-07-28,2.7800,2.7800,2.7636,2.7700,1000
2006-07-27,2.6596,2.7700,2.6596,2.7700,500
2006-07-26,2.6500,2.7700,2.6400,2.7700,4100
2006-07-25,2.5000,2.7000,2.5000,2.7000,100
2006-07-24,2.6854,2.7900,2.6000,2.7000,7870
2006-07-21,2.6900,2.7900,2.6900,2.7800,1120
2006-07-20,2.7400,2.7400,2.6600,2.7200,3100
2006-07-19,2.7500,2.7800,2.6700,2.7400,2100
2006-07-18,2.8000,2.8000,2.8000,2.8000,0
2006-07-17,2.8400,2.8400,2.7800,2.8000,1000
2006-07-14,2.8400,2.8400,2.7600,2.8000,2100
2006-07-13,2.7600,2.8100,2.7600,2.8000,1869
2006-07-12,2.7900,2.8400,2.7500,2.8300,2185
2006-07-11,2.8400,2.8400,2.7700,2.8400,1850
2006-07-10,2.8300,3.1500,2.7700,2.8300,138000
2006-07-07,2.8100,2.8300,2.7500,2.8100,5020
2006-07-06,2.8100,2.8300,2.8000,2.8000,10625
2006-07-05,2.8500,2.8500,2.7500,2.8300,21073
2006-07-03,2.6900,2.8600,2.6900,2.7800,97200
2006-06-30,2.6500,2.6900,2.6100,2.6800,8700
2006-06-29,2.6900,2.6900,2.6100,2.6500,35728
2006-06-28,2.6800,2.6900,2.5900,2.6700,4726
2006-06-27,2.6800,2.6800,2.6100,2.6800,500
2006-06-26,2.6800,2.6800,2.6800,2.6800,1100
2006-06-23,2.6700,2.6800,2.5000,2.6800,8440
2006-06-22,2.6000,2.6800,2.6000,2.6700,3514
2006-06-21,2.6200,2.6900,2.6100,2.6800,3057
2006-06-20,2.6800,2.6900,2.6800,2.6900,200
2006-06-19,2.6700,2.6800,2.6300,2.6800,4500
2006-06-16,2.6400,2.6700,2.6300,2.6700,3900
2006-06-15,2.6700,2.6800,2.5900,2.6200,2200
2006-06-14,2.6800,2.6900,2.5800,2.6500,7900
2006-06-13,2.6100,2.7000,2.6100,2.7000,13420
2006-06-12,2.6900,2.7200,2.6300,2.6900,3300
2006-06-09,2.6800,2.6900,2.6400,2.6700,8200
2006-06-08,2.7500,2.7500,2.4300,2.6200,37304
2006-06-07,2.7800,2.7800,2.6500,2.6500,40482
2006-06-06,2.7400,2.7700,2.6500,2.7100,16420
2006-06-05,2.7700,2.7700,2.7210,2.7700,6100
2006-06-02,2.7900,2.7900,2.7500,2.7900,2275
2006-06-01,2.7900,2.7900,2.7000,2.7900,5300
2006-05-31,2.7900,2.7900,2.7100,2.7900,6800
2006-05-30,2.8000,2.8000,2.6700,2.7900,34904
2006-05-26,2.7500,2.7900,2.6800,2.7900,30130
2006-05-25,2.7500,2.7500,2.7100,2.7400,7501
2006-05-24,2.7000,2.7900,2.6900,2.7700,22540
2006-05-23,2.7900,2.7900,2.6600,2.7300,7950
2006-05-22,2.8000,2.8400,2.6000,2.7500,62944
2006-05-19,2.7500,2.8700,2.7000,2.8400,38150
2006-05-18,2.6000,2.7900,2.6000,2.7700,25775
2006-05-17,2.6100,2.6800,2.6000,2.6300,41410
2006-05-16,2.6000,2.6500,2.6000,2.6400,8252
2006-05-15,2.6100,2.6300,2.6000,2.6300,24466
2006-05-12,2.6296,2.6500,2.6000,2.6000,19700
2006-05-11,2.6700,2.6700,2.6000,2.6000,15400
2006-05-10,2.7400,2.7400,2.6000,2.6100,22500
2006-05-09,2.7500,2.7800,2.7500,2.7500,94400
2006-05-08,2.7700,2.7900,2.7500,2.7500,7200
2006-05-05,2.7400,2.7700,2.7400,2.7700,2000
2006-05-04,2.7700,2.7800,2.7000,2.7700,2000
2006-05-03,2.7400,2.8000,2.6900,2.7500,26998
2006-05-02,2.7200,2.7400,2.6200,2.7400,8700
2006-05-01,2.7100,2.7400,2.6900,2.7300,17200
2006-04-28,2.7400,2.7400,2.6600,2.7000,6541
2006-04-27,2.6600,2.7400,2.6101,2.7000,21284
2006-04-26,2.6000,2.7400,2.6000,2.7100,56017
2006-04-25,2.6200,2.6300,2.5300,2.6000,17823
2006-04-24,2.6800,2.6800,2.6000,2.6100,11889
2006-04-21,2.6200,2.6500,2.6000,2.6500,11510
2006-04-20,2.6100,2.6400,2.5800,2.6000,6699
2006-04-19,2.6100,2.6300,2.6000,2.6100,68400
2006-04-18,2.6000,2.6800,2.6000,2.6400,5890
2006-04-17,2.6900,2.6900,2.5200,2.6300,29999
2006-04-13,2.6500,2.6900,2.6400,2.6900,4734
2006-04-12,2.6900,2.6900,2.6500,2.6900,5400
2006-04-11,2.6700,2.7000,2.6100,2.6900,6082
2006-04-10,2.6100,2.7000,2.5800,2.7000,31204
2006-04-07,2.6200,2.6300,2.5700,2.6200,9099
2006-04-06,2.5500,2.6100,2.5300,2.6100,7740
2006-04-05,2.6000,2.6500,2.5200,2.5500,21992
2006-04-04,2.5900,2.6100,2.5200,2.5700,15518
2006-04-03,2.6200,2.6400,2.5500,2.5700,28871
2006-03-31,2.7000,2.7100,2.6100,2.6600,17398
2006-03-30,2.7400,2.7500,2.6700,2.7300,16851
2006-03-29,2.7800,2.8000,2.6600,2.7400,39628
2006-03-28,2.9000,2.9000,2.7200,2.7900,29895
2006-03-27,2.9500,3.2900,2.7400,2.8500,497234
2006-03-24,2.9100,2.9100,2.8500,2.9100,20000
2006-03-23,2.8200,2.9700,2.7400,2.9400,60490
2006-03-22,2.7400,2.8500,2.7400,2.8000,15125
2006-03-21,2.8800,2.8800,2.7200,2.8000,27940
2006-03-20,2.8300,2.8600,2.7800,2.8000,42031
